Month,Year,GP_Index_No,pluno,Item_Name,Net_Qty,O_B,Closing_Stock
November,2023,I/009751J,9751,TEDDY BABY DIAPER SMALL 25S,4,12,8
November,2023,I/009754S,9754,"WHISPER  MAXI FIT 8""",7,36,29
November,2023,I/009772L,9772,S/T STAYFREE   DRY  MAX 16 PADS,13,13,0
November,2023,I/009788T,9788,STAYFREE DRY MAX 8 PADS,15,25,10
November,2023,I/009793M,9793,PAMPERS BABY DRY DISPOSABLE,2,80,78
November,2023,I/009794L,9794,PAMPERS BABY DRY DISPOSABLE,7,33,26
November,2023,I/009795P,9795,PAMPERS ACTIVE 18 L DIAPER,8,8,0
November,2023,I/009796H,9796,PAMPERS PREMIUM CARE PANTS NB S24,9,18,9
November,2023,I/009799M,9799,MAMY POKO 44 MED PANT,1,1,0
November,2023,I/009805K,9805,BABY DREAM SOFT WIPES 80S,14,67,53
November,2023,I/009807P,9807,PAMPERS BABY DRY PANTS DIAPERS L-30,12,21,9
November,2023,I/009808P,9808,PAMPERS PANTS V/PACK DIAPERS XL-26,3,5,2
November,2023,I/009810P,9810,PAMPERS ACTIVE 46 S BABY,4,10,6
November,2023,I/009811P,9811,PAMPERS ACTIVE 62 M BABY DIAPER,10,19,9
November,2023,I/009812P,9812,PAMPERS ACTIVE 50 L BABY DIAPER,9,10,1
November,2023,I/009828K,9828,JHONSON BABY SKINCARE WIPES 80N,4,26,22
November,2023,I/009831S,9831,TISSUE PAPER FACE PAM,40,75,35
November,2023,I/009843H,9843,HIMA/ GENTLE BABY WIPES -72.S,9,25,16
November,2023,I/009844G,9844,TEDDY WET BABY WIPES,8,27,19
November,2023,I/009850L,9850,PAPERBOX TISSUE 120 GM,6,21,115
November,2023,I/009851T,9851,PAPERBOX TOILET ROLL ULTRA SOFT,30,85,155
November,2023,I/009872K,9872,COMFORT FABRIC COND PINK 860ML,1,0,63
November,2023,I/009876Y,9876,REVIVE LIQUID STIFFNER,1,62,61
November,2023,I/009878U,9878,UJALA STIFF &SHINE 200ML,19,33,104
November,2023,I/009888K,9888,BLUE UJALA SUPERME 200ML,15,162,147
November,2023,I/009894V,9894,VANISH STAIN REMOVER 240 GM,28,250,222
November,2023,I/009899V,9899,VANISH LIQUID STAIN REMOVER 500ML,3,76,73
November,2023,I/009953W,9953,WHISPER ULTRA,33,36,3
November,2023,I/009954W,9954,WHISPER CHOICE 6PADS,47,66,105
November,2023,I/009957S,9957,WHISPER ULTRA SOFT XL 30 PADS,5,5,0
November,2023,I/009962S,9962,FIAMA B/WASH ASHWAGHANDHA & ALMOND,9,35,26
November,2023,I/009976S,9976,SESA HAIR FALL SHAMPOO 200ML,7,7,0
November,2023,I/009978S,9978,SESA HAIR COLOUR BUGANDY 50ML,1,13,12
November,2023,I/009979S,9979,SESA HAIR COLOUR BLACK 50ML,7,12,5
November,2023,I/034467H,34467,INSIGHT HAIR BRUSH FLAT,4,33,29
